Soy,Tengo,Argentina,Años de experiencia,Años en el puesto actual,Trabajo de,Gente a cargo?,Cuánta?,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Julio 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación en 2016?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,37 - 40,Chubut,10+,10+,SysAdmin / DevOps,No,0,"Linux, Windows, VMWare",,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Freelance,34000,Bruto,2,2,No,No recibo bono,Dos,25,1001+,No,No cambié de empresa,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,24 - 26,Chubut,8,3,SysAdmin / DevOps,Sí,3,"HP-UX, Linux, Windows, Azure, OpenStack, VMWare",,,,,No,0,Neto,Full-Time,35000,Bruto,2,2,Un sueldo,Mix de las anteriores,Dos,30,101-200,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Descuentos en gimnasios, Laptop, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos, WFH (Trabajar desde casa)"
Hombre,37 - 40,Chubut,10+,7,Technician,No,0,Windows,,,,,No,0,Porcentaje de mi sueldo,Full-Time,28000,Neto,2,3,No,No recibo bono,Uno,23,1001+,No,No cambié de empresa,"Abono de celular y/o Internet, Aumento por inflación, Horarios flexibles, Laptop, Viáticos"
Mujer,41 - 45,Ciudad Autónoma de Buenos Aires,10+,1, Arquitectura ,No,0,"AIX, Linux, Solaris, Windows, Azure, Docker / Containers, OpenStack, VMWare, Varias otras",,,,,"Sí, pasiva",0,Porcentaje de mi sueldo,Full-Time,41000,Bruto,2,3,No,No recibo bono,Uno,30,1001+,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, Snacks, golosinas, bebidas, WFH (Trabajar desde casa), Vale xa ropa"
Mujer,41 - 45,Ciudad Autónoma de Buenos Aires,10+,5,"a cargo el it local, leader para Argentina y Chile. ",Sí,3,Windows,,,,,"Sí, pasiva",4200,Porcentaje de mi sueldo,Full-Time,28000,Bruto,1,1,No,Performance de la compañía,Uno,10,1001+,No,No cambié de empresa,"Abono de celular y/o Internet, Descuentos en gimnasios, Laptop"
Hombre,41 - 45,Ciudad Autónoma de Buenos Aires,10+,7,Adm,No,0,"Linux, Windows, VMWare",,,,,No,0,Neto,Full-Time,36500,Bruto,1,1,Menos de un sueldo,Performance individual,Uno,12,1001+,No,No cambié de empresa,"Abono de celular y/o Internet, Descuentos en gimnasios, Laptop, WFH (Trabajar desde casa)"
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,9,5,ADM PBX,No,0,"Linux, Solaris, Windows, AVAYA ",,,,,"Sí, pasiva",3000,Bruto,Tercerizado (trabajo a través de consultora o agencia),21400,Bruto,1,2,No,No recibo bono,Dos,15,1001+,No,No cambié de empresa,Abono de celular y/o Internet
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,5,1,Admin de Servidores,No,0,"Linux, Windows, VMWare",,,,,No,0,Bruto,Full-Time,22300,Neto,3,2,No,No recibo bono,Uno,20,51-100,No,No cambié de empresa,Descuentos en gimnasios
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,2,2,Administración ,No,0,Windows,,,,,No,0,Bruto,Full-Time,14200,Neto,2,2,Menos de un sueldo,Performance de la compañía,No,0,51-100,No,No cambié de empresa,"Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc)"
Mujer,34 - 36,Ciudad Autónoma de Buenos Aires,10+,3,Administración ,No,0,Windows,,,,,No,0,Bruto,Full-Time,18000,Bruto,2,1,No,No recibo bono,No,0,201-500,No,No cambié de empresa,"Comidas pagas/subvencionadas, Descuentos en gimnasios, Snacks, golosinas, bebidas"
