Timestamp,Tengo,Trabajo en,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias ?,Cuánto te pagan por guardia (AR$),Salario bruto mensual (AR$),Cómo creés que está tu sueldo,Beneficios
11/25/2014 16:06:09,23 - 25,Buenos Aires,1 - 3,2 - 4,SysAdmin,Linux,,,"Sí, pasiva",500,8400,3,"Capacitaciones y/o cursos, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/25/2014 16:09:28,23 - 25,Buenos Aires,1 - 3,Menos de un año,HelpDesk,,,,No,0,5000,3,"Horarios flexibles, WFH (Trabajar desde casa)"
11/25/2014 16:12:03,30 - 33,Ciudad Autónoma de Buenos Aires,7 - 10,1 - 2,DevOps,Windows,,,No,,20000,3,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Laptop, WFH (Trabajar desde casa)"
11/25/2014 16:15:04,30 - 33,Ciudad Autónoma de Buenos Aires,7 - 10,4 -6,DBA,,,Oracle,No,,33000,3,"Abono de celular y/o Internet, Laptop, WFH (Trabajar desde casa)"
11/25/2014 16:15:06,30 - 33,Ciudad Autónoma de Buenos Aires,7 - 10,2 - 4,DevOps,"Linux, """"""Cloud""""""",,,"Sí, pasiva",,15000,3,"Abono de celular y/o Internet, Snacks, golosinas, bebidas, etc, WFH (Trabajar desde casa)"
11/25/2014 16:21:57,23 - 25,Ciudad Autónoma de Buenos Aires,1 - 3,1 - 2,SysAdmin,"Linux, Windows",,,"Sí, pasiva",,7000,3,Ninguna de las anteriores
11/25/2014 16:36:31,35 - 40,Ciudad Autónoma de Buenos Aires,10+,1 - 2,Developer,,"PHP, Python, Bash",,No,,14000,3,Horarios flexibles
11/25/2014 16:41:48,33 - 35,Ciudad Autónoma de Buenos Aires,10+,4 -6,Networking,,,,No,,15000,2,"Horarios flexibles, Laptop"
11/25/2014 16:42:29,35 - 40,Mendoza,10+,6 - 10,SysAdmin,Linux,,,No,,12000,2,"Clases de idiomas, Horarios flexibles"
11/25/2014 16:42:37,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,4 -6,SysAdmin,"*BSD, Linux, Windows, """"""Cloud""""""",,,"Sí, pasiva",0,18247,4,"Horarios flexibles, Viajes, WFH (Trabajar desde casa)"
11/25/2014 16:47:31,40 - 45,Ciudad Autónoma de Buenos Aires,10+,10+,Otro,,,,"Sí, pasiva",,35000,4,"Abono de celular y/o Internet, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop"
11/25/2014 16:54:14,35 - 40,Santa Fe,5 - 7,6 - 10,Otro,,,,"Sí, activa",500,15000,2,"Comidas pagas/subvencionadas, Snacks, golosinas, bebidas, etc"
11/25/2014 16:55:10,30 - 33,Santa Fe,10+,1 - 2,Designer,,,,No,,13000,3,"Comidas pagas/subvencionadas, Snacks, golosinas, bebidas, etc"
11/25/2014 16:55:14,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,4 -6,SysAdmin,"AIX, Linux, Solaris",,,"Sí, pasiva",1000,13200,3,"Laptop, WFH (Trabajar desde casa), caer una hora tarde los dias que cursl"
11/25/2014 16:55:57,30 - 33,Córdoba,3 - 5,4 -6,SysAdmin,"HP-UX, Linux, Solaris, """"""Cloud""""""",,,No,,12000,2,"Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/25/2014 16:56:45,35 - 40,Ciudad Autónoma de Buenos Aires,10+,4 -6,SysAdmin,"HP-UX, Linux, Solaris, Windows",,,"Sí, activa",800,25000,2,"Abono de celular y/o Internet, Comidas pagas/subvencionadas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/25/2014 16:58:00,27 - 30,Ciudad Autónoma de Buenos Aires,7 - 10,2 - 4,DevOps,"HP-UX, Solaris, Windows",,,"Sí, pasiva",2200,17300,2,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Laptop, Stock options, WFH (Trabajar desde casa)"
11/25/2014 17:03:51,30 - 33,Buenos Aires,10+,2 - 4,Otro,,,,No,,11000,3,"Abono de celular y/o Internet, Laptop, WFH (Trabajar desde casa)"
11/25/2014 17:07:37,33 - 35,Santa Fe,10+,2 - 4,Otro,,,,"Sí, pasiva",0,20000,4,"Abono de celular y/o Internet, Horarios flexibles"
11/25/2014 17:11:27,33 - 35,Ciudad Autónoma de Buenos Aires,7 - 10,6 - 10,Networking,,,,"Sí, activa",120,20600,4,"Abono de celular y/o Internet, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
